feature
Date consistency
COC Enhancements
Compliance update Report 
Add entities in Recent Items even they are opened in drawer
Improvements to supplier portal
Substance identifier field
Redwood implementation (admin panel in 26A) 
Improve BOM tab in item block/ general display of BOM/
Objects Needing Declarations visibility for newly integrated Items/MPNs
Allow empty search for MPN/Items in product management searches.
Campaign Agent
