date,new,closed
2026-03-05,1,0
2026-03-09,1,0
2026-03-19,2,0
2026-03-24,3,0
2026-03-27,1,0
2026-03-30,2,0
2026-03-31,4,0
2026-04-01,17,2
2026-04-02,0,2
