date,new,closed
2025-09-03, 10, 1
2025-09-04, 3, 1
2025-09-05, 7, 7
2025-09-08, 8, 2
2025-09-10, 2, 8
2025-09-11, 6, 3
2025-09-12, 2, 2
2025-09-15, 4, 0
2025-09-16, 5, 14
2025-09-18, 5, 2
2025-09-19, 8, 8
2025-09-22, 1, 4
2025-09-23, 5, 2
2025-09-29, 7, 2
